Smoothed_Point_X,Smoothed_Point_Y,Left_Gaze_Point_On_Display_Area_X,Right_Gaze_Point_On_Display_Area_X,Left_Gaze_Point_On_Display_Area_Y,Right_Gaze_Point_On_Display_Area_Y,Date_time
382,720,397,305,739,739,1670281754.2535985
378,718,397,305,739,739,1670281754.2816238
379,718,372,308,689,779,1670281754.3156552
369,721,372,308,689,779,1670281754.3883512
359,719,430,257,646,703,1670281754.3963585
358,725,495,354,754,774,1670281754.4333923
361,726,495,354,754,774,1670281754.4484057
365,726,495,354,754,774,1670281754.4854395
370,740,413,337,761,864,1670281754.5174687
375,753,413,337,761,864,1670281754.5464952
377,741,415,326,615,622,1670281754.582528
378,729,415,326,615,622,1670281754.6119292
378,724,387,292,660,694,1670281754.6439579
378,718,387,292,660,694,1670281754.677989
387,726,507,353,727,783,1670281754.722029
387,725,507,353,727,783,1670281754.7480526
385,710,474,332,619,608,1670281754.78083
383,695,474,332,619,608,1670281754.8118556
381,688,441,280,729,749,1670281754.844885
380,680,441,280,729,749,1670281754.882735
378,652,378,326,281,397,1670281754.911761
376,624,378,326,281,397,1670281754.9437904
367,576,306,191,282,114,1670281754.9768198
358,529,306,191,282,114,1670281755.0118525
330,475,147,153,429,17,1670281755.0428798
302,422,147,153,429,17,1670281755.0829165
282,396,222,168,371,332,1670281755.1129441
261,370,222,168,371,332,1670281755.139968
238,318,117,145,295,142,1670281755.1760015
215,266,117,145,295,142,1670281755.207941
198,245,209,160,274,-2,1670281755.2509792
182,225,209,160,274,-2,1670281755.2735574
182,226,236,268,349,74,1670281755.3095903
182,228,236,268,349,74,1670281755.3391216
249,247,780,859,397,439,1670281755.3711514
316,267,780,859,397,439,1670281755.4139187
416,435,1491,890,1832,2246,1670281755.4379401
515,604,1491,890,1832,2246,1670281755.473973
623,724,1220,1195,1288,1547,1670281755.5050004
730,844,1220,1195,1288,1547,1670281755.5440364
821,984,1101,1092,1446,1622,1670281755.5720613
913,1124,1101,1092,1446,1622,1670281755.605637
1001,1243,1163,1100,1256,1548,1670281755.6342201
1089,1362,1163,1100,1256,1548,1670281755.6689174
1121,1458,1138,1154,1203,1564,1670281755.7029486
1154,1555,1138,1154,1203,1564,1670281755.7449875
1145,1496,1069,1133,1303,1603,1670281755.7740135
1136,1438,1069,1133,1303,1603,1670281755.806953
1131,1444,1146,1163,1291,1662,1670281755.8349783
1125,1449,1146,1163,1291,1662,1670281755.8670075
1130,1434,1138,1146,1218,1538,1670281755.9010386
1135,1418,1138,1146,1218,1538,1670281755.935069
1137,1425,1140,1181,1284,1661,1670281755.9650965
1140,1432,1140,1181,1284,1661,1670281755.9989529
1140,1439,1138,1154,1275,1638,1670281756.051
1140,1447,1138,1154,1275,1638,1670281756.06124
1144,1448,1102,1169,1320,1610,1670281756.107278
1147,1449,1102,1169,1320,1610,1670281756.1343036
1145,1448,1102,1169,1320,1610,1670281756.1983614
1142,1446,1108,1138,1231,1685,1670281756.2183793
1146,1463,1201,1150,1350,1755,1670281756.2363958
1149,1481,1201,1150,1350,1755,1670281756.2624192
1148,1501,1192,1101,1483,1862,1670281756.297451
1146,1521,1192,1101,1483,1862,1670281756.3274794
1153,1537,1235,1190,1464,1777,1670281756.3625107
1160,1554,1235,1190,1464,1777,1670281756.3915374
1155,1581,1082,1089,1541,1932,1670281756.4425828
1150,1608,1082,1089,1541,1932,1670281756.4595988
1145,1635,1082,1089,1541,1932,1670281756.4906266
1150,1664,1141,1221,1563,1938,1670281756.5256586
1152,1677,1153,1227,1462,1893,1670281756.562692
1153,1690,1153,1227,1462,1893,1670281756.596226
1157,1690,1153,1227,1462,1893,1670281756.6236749
1156,1683,1166,1091,1402,1788,1670281756.657706
1150,1688,1204,1110,1516,1824,1670281756.709753
1144,1693,1204,1110,1516,1824,1670281756.72176
1152,1672,1181,1148,1384,1672,1670281756.7567778
1160,1651,1181,1148,1384,1672,1670281756.7918143
1166,1643,1108,1165,1481,1830,1670281756.8235893
1161,1633,1108,1165,1481,1830,1670281756.8546062
1156,1631,1108,1165,1481,1830,1670281756.8906386
1149,1631,1089,1143,1476,1882,1670281756.9256709
1141,1631,1089,1143,1476,1882,1670281756.9556985
1149,1636,1224,1192,1488,1800,1670281756.986727
1147,1644,1127,1154,1545,1947,1670281757.0357568
1146,1651,1127,1154,1545,1947,1670281757.0507705
1143,1673,1127,1154,1545,1947,1670281757.0898054
1138,1689,1084,1136,1505,1876,1670281757.1268394
1139,1700,1193,1099,1567,1960,1670281757.1598687
1140,1711,1193,1099,1567,1960,1670281757.1858945
1147,1711,1231,1186,1491,1814,1670281757.2199454
1156,1708,1231,1186,1491,1814,1670281757.252976
1165,1705,1231,1186,1491,1814,1670281757.2840059
1165,1716,1234,1184,1553,1944,1670281757.33305
1172,1716,1234,1184,1553,1944,1670281757.3560708
1177,1721,1218,1170,1586,1992,1670281757.391103
1183,1725,1218,1170,1586,1992,1670281757.415125
1184,1706,1107,1141,1387,1621,1670281757.4721763
1182,1680,1107,1141,1387,1621,1670281757.4871898
1178,1682,1080,1134,1588,1966,1670281757.5222228
1168,1694,1080,1134,1588,1966,1670281757.5492585
1164,1685,1202,1132,1442,1690,1670281757.5852141
1156,1699,1112,1142,1557,2015,1670281757.6182442
1148,1702,1112,1142,1557,2015,1670281757.651274
1139,1706,1112,1142,1557,2015,1670281757.6834393
1140,1691,1230,1164,1549,1726,1670281757.7124574
1140,1676,1230,1164,1549,1726,1670281757.7534945
1138,1677,1108,1095,1297,1745,1670281757.7805192
1136,1679,1108,1095,1297,1745,1670281757.814551
1144,1651,1223,1154,1322,1669,1670281757.8635945
1152,1623,1223,1154,1322,1669,1670281757.8856146
1144,1628,1131,1042,1474,1753,1670281757.9176435
1140,1611,1131,1042,1474,1753,1670281757.9426668
1141,1592,1208,1077,1497,1705,1670281757.9776983
1143,1574,1208,1077,1497,1705,1670281758.0097275
1133,1554,1123,1076,1239,1647,1670281758.058772
1123,1535,1123,1076,1239,1647,1670281758.0737884
1127,1535,1153,1116,1359,1693,1670281758.113824
1130,1536,1153,1116,1359,1693,1670281758.1498563
1126,1540,1188,1122,1308,1772,1670281758.181886
1123,1544,1188,1122,1308,1772,1670281758.210415
